RocketFuel Equal-METIS 1350 86/114/200/390 88/60/148/390 153/90/243/390 100/135/235/190 100/162/262/190 153/132/285/190
RocketFuel $C_i(0.9)$ 380 183/195/378/390 105/195/300/390 116/108/224/390 86/78/164/190 70/75/145/190 47/42/89/190
RocketFuel Waterfall 240 142/255/397/390 161/228/389/390 253/138/391/390 0/0/0/0 0/0/0/0 60/72/132/190
# Fat-tree Equal-METIS 8480 184/72/256/390 184/72/256/390 289/48/337/390 194/72/266/190 189/48/237/190 347/72/419/190
# Fat-tree $C_i(90)$ 9120 89/108/197/390 120/105/225/390 97/63/160/390 420/42/462/190 284/42/326/190 54/24/78/190
# Fat-tree Waterfall 9030 233/156/389/390 317/72/389/390 384/6/390/390 115/51/166/190 124/66/190/190 72/33/105/190
Jellyfish Equal-METIS 4150 93/90/183/390 94/78/172/390 171/78/249/390 108/78/186/190 112/78/190/190 175/78/253/190
Jellyfish $C_i(0.9)$ 4010 156/135/291/390 201/135/336/390 146/78/224/390 59/51/110/190 65/51/116/190 37/30/67/190
Jellyfish Waterfall 2980 212/177/389/390 200/192/392/390 212/111/323/390 0/0/0/0 0/0/0/0 0/0/0/0
Fat-tree Waterfall 9030 233/156/389/390 317/72/389/390 384/6/390/390 115/51/166/190 124/66/190/190 72/33/105/190
Fat-tree Equal-METIS 8480 184/72/256/390 184/72/256/390 289/48/337/390 194/72/266/190 189/48/237/190 347/72/419/190
Fat-tree $C_i(0.9)$ 9120 89/108/197/390 120/105/225/390 97/63/160/390 420/42/462/190 284/42/326/190 54/24/78/190
