sw_factor,vh_factor,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
0.0,0.0,1,3,0,0,3,18,1240
0.0,0.01,1,3,0,0,3,18,1260
0.0,0.02,1,3,0,0,3,19,1010
0.0,0.03,1,3,0,0,3,20,1080
0.0,0.04,1,2,0,0,3,21,920
0.0,0.05,1,2,0,0,3,21,970
0.0,0.06,1,3,0,0,3,18,1220
0.0,0.07,1,3,0,0,3,24,1420
0.0,0.08,1,3,0,0,3,20,1190
0.0,0.09,1,3,0,0,3,28,950
0.0,0.1,1,3,0,0,3,24,1190
0.0,0.11,1,3,0,0,3,23,980
0.0,0.12,1,3,0,0,3,23,980
0.0,0.13,1,3,0,0,3,27,1270
0.0,0.14,1,3,0,0,3,28,2680
0.0,0.15,1,2,0,0,3,31,1190
0.0,0.16,1,3,0,0,3,25,960
0.0,0.17,1,3,0,0,3,24,1130
0.0,0.18,1,3,0,0,3,31,1360
0.0,0.19,1,3,0,0,3,24,930
0.0,0.2,1,2,0,0,3,26,940
0.0,0.21,1,2,0,0,3,20,1000
0.0,0.22,1,2,0,0,3,34,2360
0.0,0.23,1,3,0,0,3,21,970
0.0,0.24,1,2,0,0,3,29,1050
0.0,0.25,1,3,0,0,3,30,930
0.0,0.26,1,2,0,0,3,28,1480
0.0,0.27,1,3,0,0,3,20,1020
0.0,0.28,1,2,0,0,3,26,940
0.0,0.29,1,2,1,0,3,35,1110
0.0,0.3,1,3,0,0,3,28,2680
0.0,0.31,1,3,0,0,3,18,870
0.0,0.32,1,3,0,0,3,29,750
0.0,0.33,1,2,1,0,3,34,1130
0.0,0.34,1,3,0,0,3,23,980
0.0,0.35,1,2,0,0,3,34,2360
0.0,0.36,1,3,0,0,3,20,1190
0.0,0.37,1,2,0,0,3,51,860
0.0,0.38,1,3,0,0,3,28,2680
0.0,0.39,1,2,0,0,3,30,1210
0.0,0.4,1,3,0,0,3,28,2680
0.0,0.41,1,3,0,0,3,23,980
0.0,0.42,1,3,0,0,3,31,1270
0.0,0.43,1,3,0,0,3,23,980
0.0,0.44,1,2,0,0,3,48,800
0.0,0.45,1,3,0,0,3,33,1350
0.0,0.46,1,3,0,0,3,25,1040
0.0,0.47,1,2,0,0,3,43,820
0.0,0.48,1,3,0,0,3,20,1190
0.0,0.49,1,3,0,0,3,20,1190
0.0,0.5,1,3,0,0,3,23,980
0.01,0.0,1,3,0,0,3,18,870
0.01,0.01,1,3,0,0,3,18,880
0.01,0.02,1,3,0,0,3,19,670
0.01,0.03,1,3,0,0,3,19,670
0.01,0.04,1,3,0,0,3,19,670
0.01,0.05,1,2,0,0,3,24,750
0.01,0.06,1,3,0,0,3,19,670
0.01,0.07,1,3,0,0,3,19,670
0.01,0.08,1,3,0,0,3,19,670
0.01,0.09,1,3,0,0,3,19,670
0.01,0.1,1,3,0,0,3,19,670
0.01,0.11,1,3,0,0,3,19,670
0.01,0.12,1,3,0,0,3,19,670
0.01,0.13,1,2,0,0,3,30,780
0.01,0.14,1,3,0,0,3,19,670
0.01,0.15,1,3,0,0,3,19,670
0.01,0.16,1,3,0,0,3,19,670
0.01,0.17,1,3,0,0,3,19,740
0.01,0.18,1,2,0,0,3,26,740
0.01,0.19,1,2,0,0,3,30,760
0.01,0.2,1,2,0,0,3,27,760
