sw_factor,vh_factor,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
0.0,0.0,0,0,3,1,5,0,2990
0.0,0.01,0,0,3,1,5,0,2160
0.0,0.02,1,1,3,1,5,5,2500
0.0,0.03,1,1,2,2,4,12,1870
0.0,0.04,0,0,3,1,5,0,2610
0.0,0.05,1,1,3,1,5,5,2310
0.0,0.06,1,1,3,1,5,6,2270
0.0,0.07,1,1,4,1,5,9,2310
0.0,0.08,0,0,3,1,5,0,2150
0.0,0.09,1,1,2,1,5,10,2070
0.0,0.1,1,1,3,1,5,13,1960
0.0,0.11,1,1,1,2,4,5,1290
0.0,0.12,1,2,1,2,4,8,1390
0.0,0.13,1,1,2,1,5,5,2970
0.0,0.14,1,1,3,1,5,5,1670
0.0,0.15,1,1,3,1,5,7,1900
0.0,0.16,0,0,2,1,5,0,3200
0.0,0.17,1,1,2,1,5,5,1960
0.0,0.18,0,0,2,1,5,0,1720
0.0,0.19,0,0,2,1,5,0,2010
0.0,0.2,0,0,2,1,5,0,1950
0.0,0.21,0,0,2,1,5,0,1840
0.0,0.22,1,1,1,2,4,6,1370
0.0,0.23,0,0,2,1,5,0,1960
0.0,0.24,0,0,2,1,5,0,2160
0.0,0.25,0,0,2,1,5,0,2420
0.0,0.26,0,0,2,1,5,0,1780
0.0,0.27,0,0,2,1,5,0,2150
0.0,0.28,0,0,2,1,5,0,2270
0.0,0.29,0,0,2,1,5,0,2340
0.0,0.3,0,0,2,1,5,0,2060
0.0,0.31,0,0,2,1,5,0,2370
0.0,0.32,0,0,2,1,5,0,2090
0.0,0.33,0,0,2,1,5,0,2820
0.0,0.34,0,0,3,1,5,0,2480
0.0,0.35,0,0,2,1,5,0,2100
0.0,0.36,1,1,3,1,5,5,2580
0.0,0.37,0,0,2,1,5,0,3020
0.0,0.38,1,1,3,1,5,6,2340
0.0,0.39,0,0,2,1,5,0,2640
0.0,0.4,1,1,3,1,5,6,2820
0.0,0.41,1,1,3,1,5,7,3000
0.0,0.42,1,1,3,1,5,6,2510
0.0,0.43,1,1,3,1,5,6,2540
0.0,0.44,1,1,3,1,5,7,2690
0.0,0.45,1,1,3,1,5,8,2960
0.0,0.46,1,1,3,1,5,9,2930
0.0,0.47,1,1,2,1,5,11,2530
0.0,0.48,1,1,3,1,5,10,2780
0.0,0.49,1,1,3,1,5,11,2810
0.0,0.5,1,1,2,1,5,13,2730
0.01,0.0,0,0,3,1,5,0,2990
0.01,0.01,0,0,3,1,5,0,3540
0.01,0.02,0,0,3,1,5,0,3040
0.01,0.03,0,0,3,1,5,0,2670
0.01,0.04,0,0,3,1,5,0,3740
0.01,0.05,0,0,3,1,5,0,2820
0.01,0.06,1,1,3,1,5,7,2070
0.01,0.07,0,0,3,1,5,0,2970
0.01,0.08,0,0,3,1,5,0,2890
0.01,0.09,1,1,3,1,5,5,2180
0.01,0.1,0,0,2,1,5,0,3490
0.01,0.11,0,0,3,1,5,0,2720
0.01,0.12,1,1,2,1,5,7,2350
0.01,0.13,1,1,2,1,5,11,2480
0.01,0.14,1,1,2,1,5,11,2470
0.01,0.15,0,0,2,1,5,0,1740
0.01,0.16,0,0,2,1,5,0,1800
0.01,0.17,0,0,2,1,5,0,2350
0.01,0.18,0,0,2,1,5,0,2740
0.01,0.19,0,0,2,1,5,0,1720
0.01,0.2,0,0,2,1,5,0,1960
0.01,0.21,0,0,2,1,5,0,1970
0.01,0.22,0,0,2,1,5,0,2100
0.01,0.23,0,0,2,1,5,0,2310
0.01,0.24,0,0,3,1,5,0,1840
0.01,0.25,0,0,2,1,5,0,2110
0.01,0.26,0,0,2,1,5,0,2270
0.01,0.27,0,0,2,1,5,0,1890
0.01,0.28,0,0,2,1,5,0,1860
0.01,0.29,0,0,2,1,5,0,2340
0.01,0.3,0,0,2,1,5,0,1960
0.01,0.31,0,0,2,1,5,0,1990
0.01,0.32,0,0,3,1,5,0,2230
0.01,0.33,0,0,2,1,5,0,2360
0.01,0.34,0,0,2,1,5,0,2810
0.01,0.35,0,0,3,1,5,0,2540
0.01,0.36,0,0,2,1,5,0,1970
0.01,0.37,0,0,2,1,5,0,2810
0.01,0.38,0,0,2,1,5,0,2360
0.01,0.39,0,0,2,1,5,0,2570
0.01,0.4,1,1,2,1,5,5,2450
0.01,0.41,1,1,2,1,5,5,2820
0.01,0.42,1,1,2,1,5,6,2430
0.01,0.43,1,1,3,1,5,8,2760
0.01,0.44,0,0,2,1,5,0,1820
