sw_factor,vh_factor,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
0.0,0.0,0,0,3,0,3,0,4340
0.0,0.01,0,0,3,0,3,0,4300
0.0,0.02,0,0,3,0,3,0,4420
0.0,0.03,0,0,3,0,3,0,4360
0.0,0.04,0,0,3,0,3,0,4380
0.0,0.05,0,0,3,0,3,0,4360
0.0,0.06,0,0,3,0,3,0,4460
0.0,0.07,0,0,3,0,3,0,4340
0.0,0.08,0,0,3,0,3,0,4300
0.0,0.09,0,0,3,0,3,0,4300
0.0,0.1,0,0,3,0,3,0,4280
0.0,0.11,0,0,3,0,3,0,4320
0.0,0.12,0,0,3,0,3,0,4320
0.0,0.13,0,0,3,0,3,0,4280
0.0,0.14,0,0,3,0,3,0,4260
0.0,0.15,0,0,3,0,3,0,4240
0.0,0.16,0,0,3,0,3,0,4280
0.0,0.17,0,0,3,0,3,0,4680
0.0,0.18,0,0,3,0,3,0,4280
0.0,0.19,0,0,3,0,3,0,4220
0.0,0.2,0,0,3,0,3,0,4320
0.0,0.21,0,0,3,0,3,0,4360
0.0,0.22,0,0,3,0,3,0,4300
0.0,0.23,0,0,3,0,3,0,4300
0.0,0.24,0,0,3,0,3,0,4340
0.0,0.25,0,0,3,0,3,0,4380
0.0,0.26,0,0,3,0,3,0,4340
0.0,0.27,0,0,3,0,3,0,4340
0.0,0.28,0,0,3,0,3,0,4340
0.0,0.29,0,0,3,0,3,0,4120
0.0,0.3,0,0,3,0,3,0,4120
0.0,0.31,0,0,3,0,3,0,4120
0.0,0.32,0,0,3,0,3,0,4120
0.0,0.33,0,0,3,0,3,0,4120
0.0,0.34,0,0,3,0,3,0,4120
0.0,0.35,0,0,3,0,3,0,4120
0.0,0.36,0,0,3,0,3,0,4120
0.0,0.37,0,0,3,0,3,0,4120
0.0,0.38,0,0,3,0,3,0,4120
0.0,0.39,0,0,3,0,3,0,4120
0.0,0.4,0,0,3,0,3,0,4120
0.0,0.41,0,0,3,0,3,0,4120
0.0,0.42,0,0,3,0,3,0,4120
0.0,0.43,0,0,3,0,3,0,4120
0.0,0.44,0,0,3,0,3,0,4120
0.0,0.45,0,0,3,0,3,0,4120
0.0,0.46,0,0,3,0,3,0,4120
0.0,0.47,0,0,3,0,3,0,4120
0.0,0.48,0,0,3,0,3,0,4120
0.0,0.49,0,0,3,0,3,0,4120
0.0,0.5,0,0,3,0,3,0,4120
0.01,0.0,0,0,3,0,3,0,4260
0.01,0.01,0,0,3,0,3,0,4180
0.01,0.02,0,0,3,0,3,0,3960
0.01,0.03,0,0,3,0,3,0,3900
0.01,0.04,0,0,3,0,3,0,4320
0.01,0.05,0,0,3,0,3,0,4120
0.01,0.06,0,0,3,0,3,0,4140
0.01,0.07,0,0,3,0,3,0,4000
0.01,0.08,0,0,3,0,3,0,4000
0.01,0.09,0,0,3,0,3,0,4280
0.01,0.1,0,0,3,0,3,0,4280
0.01,0.11,0,0,3,0,3,0,4200
0.01,0.12,0,0,3,0,3,0,4080
0.01,0.13,0,0,3,0,3,0,4160
0.01,0.14,0,0,3,0,3,0,4100
0.01,0.15,0,0,3,0,3,0,4200
0.01,0.16,0,0,3,0,3,0,4160
0.01,0.17,0,0,3,0,3,0,4220
0.01,0.18,0,0,3,0,3,0,4200
0.01,0.19,0,0,3,0,3,0,4100
0.01,0.2,0,0,3,0,3,0,3980
0.01,0.21,0,0,3,0,3,0,4160
0.01,0.22,0,0,3,0,3,0,4220
0.01,0.23,0,0,3,0,3,0,4080
0.01,0.24,0,0,3,0,3,0,3900
0.01,0.25,0,0,3,0,3,0,4120
0.01,0.26,0,0,3,0,3,0,4180
0.01,0.27,0,0,2,0,3,0,4120
0.01,0.28,0,0,3,0,3,0,4140
0.01,0.29,0,0,3,0,3,0,4240
0.01,0.3,0,0,3,0,3,0,4080
0.01,0.31,0,0,3,0,3,0,4220
0.01,0.32,0,0,3,0,3,0,4180
0.01,0.33,0,0,3,0,3,0,4180
0.01,0.34,0,0,3,0,3,0,4180
0.01,0.35,0,0,3,0,3,0,4180
0.01,0.36,0,0,3,0,3,0,4180
0.01,0.37,0,0,3,0,3,0,4180
0.01,0.38,0,0,3,0,3,0,4180
0.01,0.39,0,0,3,0,3,0,4180
0.01,0.4,0,0,3,0,3,0,4180
0.01,0.41,0,0,3,0,3,0,4180
0.01,0.42,0,0,3,0,3,0,4180
0.01,0.43,0,0,3,0,3,0,4180
0.01,0.44,0,0,3,0,3,0,4180
0.01,0.45,0,0,3,0,3,0,4180
0.01,0.46,0,0,3,0,3,0,4180
0.01,0.47,0,0,3,0,3,0,4180
0.01,0.48,0,0,3,0,3,0,4180
0.01,0.49,0,0,3,0,3,0,4180
0.01,0.5,0,0,3,0,3,0,4180
0.02,0.0,0,0,3,0,3,0,4120
0.02,0.01,0,0,3,0,3,0,4140
0.02,0.02,0,0,3,0,3,0,4220
0.02,0.03,0,0,3,0,3,0,4080
0.02,0.04,0,0,3,0,3,0,4060
0.02,0.05,0,0,3,0,3,0,4000
0.02,0.06,0,0,3,0,3,0,4160
