imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.00, 0.00",1,2,0,0,2,6,1480
"0.00, 0.01",1,1,0,0,2,7,1480
"0.00, 0.02",1,2,0,0,2,6,1440
"0.00, 0.03",1,2,0,0,2,6,1490
"0.00, 0.04",1,1,0,0,2,7,1510
"0.00, 0.05",1,1,0,0,2,7,1510
"0.00, 0.06",1,1,0,0,2,7,1510
"0.00, 0.07",1,1,0,0,2,7,1510
"0.00, 0.08",1,1,0,0,2,7,1510
"0.00, 0.09",1,1,0,0,2,7,1510
"0.00, 0.10",1,1,0,0,2,7,1510
"0.00, 0.11",1,1,0,0,2,7,1510
"0.00, 0.12",1,1,0,0,2,7,1510
"0.00, 0.13",1,1,0,0,2,7,1510
"0.00, 0.14",1,1,0,0,2,7,1510
"0.00, 0.15",1,1,0,0,2,7,1510
"0.00, 0.16",1,1,0,0,2,7,1510
"0.00, 0.17",1,1,0,0,2,7,1510
"0.00, 0.18",1,1,0,0,2,7,1510
"0.00, 0.19",1,1,0,0,2,7,1510
"0.00, 0.20",1,1,0,0,2,7,1510
"0.00, 0.21",1,1,0,0,2,7,1510
"0.00, 0.22",1,1,0,0,2,7,1510
"0.00, 0.23",1,1,0,0,2,7,1510
"0.00, 0.24",1,1,0,0,2,7,1510
"0.00, 0.25",1,1,0,0,2,7,1510
"0.00, 0.26",1,1,0,0,2,7,1510
"0.00, 0.27",1,1,0,0,2,7,1510
"0.00, 0.28",1,1,0,0,2,7,1510
"0.00, 0.29",1,1,0,0,2,7,1510
"0.00, 0.30",1,1,0,0,2,7,1510
"0.00, 0.31",1,1,0,0,2,7,1510
"0.00, 0.32",1,1,0,0,2,7,1510
"0.00, 0.33",1,1,0,0,2,7,1510
"0.00, 0.34",1,1,0,0,2,6,1420
"0.00, 0.35",1,1,0,0,2,6,1420
"0.00, 0.36",1,1,0,0,2,6,1420
"0.00, 0.37",1,2,0,0,2,6,1500
"0.00, 0.38",1,1,0,0,2,7,1510
"0.00, 0.39",1,1,0,0,2,6,1420
"0.00, 0.40",1,1,0,0,2,7,1510
"0.01, 0.00",1,2,0,0,2,6,1420
"0.01, 0.01",1,2,0,0,2,6,1380
"0.01, 0.02",1,2,0,0,2,7,1390
"0.01, 0.03",1,2,0,0,2,6,1410
"0.01, 0.04",1,1,0,0,2,6,1400
"0.01, 0.05",1,1,0,0,2,6,1400
"0.01, 0.06",1,1,0,0,2,6,1400
"0.01, 0.07",1,1,0,0,2,6,1400
"0.01, 0.08",1,1,0,0,2,6,1400
"0.01, 0.09",1,1,0,0,2,6,1400
"0.01, 0.10",1,1,0,0,2,6,1400
"0.01, 0.11",1,1,0,0,2,6,1400
"0.01, 0.12",1,1,0,0,2,6,1400
"0.01, 0.13",1,1,0,0,2,6,1400
"0.01, 0.14",1,1,0,0,2,6,1400
"0.01, 0.15",1,1,0,0,2,6,1400
"0.01, 0.16",1,1,0,0,2,6,1400
"0.01, 0.17",1,1,0,0,2,6,1400
"0.01, 0.18",1,1,0,0,2,6,1400
"0.01, 0.19",1,1,0,0,2,6,1400
"0.01, 0.20",1,1,0,0,2,6,1400
"0.01, 0.21",1,1,0,0,2,6,1400
"0.01, 0.22",1,1,0,0,2,6,1400
"0.01, 0.23",1,1,0,0,2,6,1400
"0.01, 0.24",1,1,0,0,2,6,1400
"0.01, 0.25",1,1,0,0,2,6,1400
"0.01, 0.26",1,1,0,0,2,6,1400
"0.01, 0.27",1,1,0,0,2,6,1400
"0.01, 0.28",1,1,0,0,2,6,1400
"0.01, 0.29",1,1,0,0,2,6,1400
"0.01, 0.30",1,1,0,0,2,6,1400
"0.01, 0.31",1,1,0,0,2,6,1400
"0.01, 0.32",1,1,0,0,2,6,1400
"0.01, 0.33",1,1,0,0,2,6,1380
"0.01, 0.34",1,2,0,0,2,8,1390
"0.01, 0.35",1,2,0,0,2,6,1380
"0.01, 0.36",1,1,0,0,2,7,1380
"0.01, 0.37",1,1,0,0,2,9,1390
"0.01, 0.38",1,2,0,0,2,7,1400
"0.01, 0.39",1,2,0,0,2,8,1400
"0.01, 0.40",1,2,0,0,2,6,1410
"0.02, 0.00",1,2,0,0,2,6,1410
"0.02, 0.01",1,2,0,0,2,6,1340
"0.02, 0.02",1,2,0,0,2,6,1500
"0.02, 0.03",1,2,0,0,2,7,1340
"0.02, 0.04",1,2,0,0,2,6,1350
"0.02, 0.05",1,1,0,0,2,8,1390
"0.02, 0.06",1,1,0,0,2,8,1390
"0.02, 0.07",1,1,0,0,2,8,1390
"0.02, 0.08",1,1,0,0,2,8,1390
