imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.00, 0.00",1,1,0,1,2,5,4240
"0.00, 0.01",0,0,0,1,2,0,3880
"0.00, 0.02",0,0,0,1,2,0,3760
"0.00, 0.03",0,0,0,1,2,0,3420
"0.00, 0.04",0,0,0,1,2,0,3240
"0.00, 0.05",0,0,0,1,2,0,3260
"0.00, 0.06",0,0,0,1,2,0,3220
"0.00, 0.07",1,1,0,1,2,5,3180
"0.00, 0.08",1,1,0,1,2,5,3180
"0.00, 0.09",0,0,0,1,2,0,3220
"0.00, 0.10",1,1,0,1,2,5,3220
"0.00, 0.11",0,0,0,1,2,0,3220
"0.00, 0.12",1,1,0,1,2,5,3240
"0.00, 0.13",1,1,0,1,2,6,3200
"0.00, 0.14",1,1,0,1,2,5,3180
"0.00, 0.15",0,0,0,1,2,0,3220
"0.00, 0.16",0,0,0,1,2,0,3220
"0.00, 0.17",0,0,0,1,2,0,3220
"0.00, 0.18",0,0,0,1,2,0,3220
"0.00, 0.19",0,0,0,1,2,0,3220
"0.00, 0.20",0,0,0,1,2,0,3220
"0.00, 0.21",0,0,0,1,2,0,3220
"0.00, 0.22",0,0,0,1,2,0,3220
"0.00, 0.23",0,0,0,1,2,0,3220
"0.00, 0.24",0,0,0,1,2,0,3220
"0.00, 0.25",0,0,0,1,2,0,3220
"0.00, 0.26",0,0,0,1,2,0,3220
"0.00, 0.27",0,0,0,1,2,0,3220
"0.00, 0.28",0,0,0,1,2,0,3220
"0.00, 0.29",0,0,0,1,2,0,3220
"0.00, 0.30",0,0,0,1,2,0,3220
"0.00, 0.31",0,0,0,1,2,0,3220
"0.00, 0.32",0,0,0,1,2,0,3220
"0.00, 0.33",0,0,0,1,2,0,3220
"0.00, 0.34",0,0,0,1,2,0,3220
"0.00, 0.35",0,0,0,1,2,0,3220
"0.00, 0.36",0,0,0,1,2,0,3220
"0.00, 0.37",0,0,0,1,2,0,3220
"0.00, 0.38",0,0,0,1,2,0,3220
"0.00, 0.39",0,0,0,1,2,0,3220
"0.00, 0.40",0,0,0,1,2,0,3220
"0.01, 0.00",0,0,0,1,2,0,3760
"0.01, 0.01",0,0,0,1,2,0,3540
"0.01, 0.02",0,0,0,1,2,0,3480
"0.01, 0.03",0,0,0,1,2,0,3280
"0.01, 0.04",0,0,0,1,2,0,3040
"0.01, 0.05",0,0,0,1,2,0,2920
"0.01, 0.06",1,1,0,1,2,5,3180
"0.01, 0.07",0,0,0,1,2,0,2820
"0.01, 0.08",0,0,0,1,2,0,2860
"0.01, 0.09",0,0,0,1,2,0,2820
"0.01, 0.10",0,0,0,1,2,0,2900
"0.01, 0.11",0,0,0,1,2,0,2800
"0.01, 0.12",0,0,0,1,2,0,2880
"0.01, 0.13",0,0,0,1,2,0,2820
"0.01, 0.14",0,0,0,1,2,0,2840
