imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.00, 0.00",0,0,0,3,3,0,2030
"0.00, 0.01",0,0,0,3,3,0,1220
"0.00, 0.02",0,0,0,3,3,0,1640
"0.00, 0.03",0,0,0,3,3,0,1280
"0.00, 0.04",0,0,0,3,3,0,880
"0.00, 0.05",0,0,0,3,3,0,1590
"0.00, 0.06",0,0,1,3,3,0,1220
"0.00, 0.07",0,0,0,3,3,0,880
"0.00, 0.08",0,0,0,3,3,0,1280
"0.00, 0.09",0,0,0,3,3,0,790
"0.00, 0.10",0,0,1,3,3,0,960
"0.00, 0.11",0,0,0,3,3,0,880
"0.00, 0.12",0,0,0,3,3,0,1180
"0.00, 0.13",0,0,1,3,3,0,1060
"0.00, 0.14",0,0,0,3,3,0,1360
"0.00, 0.15",0,0,1,3,3,0,1360
"0.00, 0.16",0,0,0,3,3,0,1020
"0.00, 0.17",0,0,0,3,3,0,880
"0.00, 0.18",0,0,1,3,3,0,900
"0.00, 0.19",0,0,1,3,3,0,1020
"0.00, 0.20",0,0,1,3,3,0,1150
"0.00, 0.21",0,0,0,3,3,0,1140
"0.00, 0.22",0,0,1,3,3,0,1140
"0.00, 0.23",0,0,1,3,3,0,1320
"0.00, 0.24",0,0,1,3,3,0,1020
"0.00, 0.25",0,0,1,3,3,0,1160
"0.00, 0.26",0,0,1,3,3,0,1020
"0.00, 0.27",1,1,0,3,3,7,1170
"0.00, 0.28",1,1,1,3,3,6,940
"0.00, 0.29",0,0,0,3,3,0,910
"0.00, 0.30",1,1,1,3,3,5,990
"0.00, 0.31",0,0,1,3,3,0,960
"0.00, 0.32",0,0,1,3,3,0,2190
"0.00, 0.33",0,0,1,3,3,0,1020
"0.00, 0.34",0,0,1,3,3,0,1160
"0.00, 0.35",0,0,1,3,3,0,1160
"0.00, 0.36",0,0,1,3,3,0,1160
"0.00, 0.37",0,0,1,3,3,0,1160
"0.00, 0.38",0,0,1,3,3,0,1160
"0.00, 0.39",0,0,1,3,3,0,1160
"0.00, 0.40",0,0,0,3,3,0,880
"0.01, 0.00",0,0,0,3,3,0,1410
"0.01, 0.01",0,0,0,3,3,0,1030
"0.01, 0.02",0,0,0,3,3,0,910
"0.01, 0.03",0,0,1,3,3,0,800
"0.01, 0.04",0,0,1,3,3,0,800
"0.01, 0.05",0,0,1,3,3,0,950
"0.01, 0.06",0,0,1,3,3,0,800
"0.01, 0.07",0,0,1,3,3,0,930
"0.01, 0.08",0,0,1,3,3,0,930
"0.01, 0.09",0,0,1,3,3,0,800
"0.01, 0.10",0,0,1,3,3,0,800
"0.01, 0.11",0,0,1,3,3,0,990
"0.01, 0.12",0,0,1,3,3,0,970
"0.01, 0.13",0,0,1,3,3,0,970
"0.01, 0.14",0,0,1,3,3,0,970
"0.01, 0.15",0,0,1,3,3,0,800
"0.01, 0.16",0,0,1,3,3,0,800
"0.01, 0.17",0,0,1,3,3,0,970
"0.01, 0.18",0,0,1,3,3,0,990
"0.01, 0.19",0,0,1,3,3,0,970
"0.01, 0.20",1,1,1,3,3,7,1040
"0.01, 0.21",0,0,1,3,3,0,900
"0.01, 0.22",0,0,1,3,3,0,950
"0.01, 0.23",0,0,1,3,3,0,970
"0.01, 0.24",0,0,1,3,3,0,990
"0.01, 0.25",0,0,1,3,3,0,970
"0.01, 0.26",0,0,1,3,3,0,970
"0.01, 0.27",0,0,1,3,3,0,900
"0.01, 0.28",0,0,1,3,3,0,970
"0.01, 0.29",0,0,1,3,3,0,970
"0.01, 0.30",0,0,1,3,3,0,890
"0.01, 0.31",0,0,1,3,3,0,970
"0.01, 0.32",0,0,1,3,3,0,970
"0.01, 0.33",0,0,1,3,3,0,930
"0.01, 0.34",0,0,1,3,3,0,960
"0.01, 0.35",0,0,1,3,3,0,970
"0.01, 0.36",0,0,1,3,3,0,800
"0.01, 0.37",0,0,1,3,3,0,950
"0.01, 0.38",0,0,1,3,3,0,970
"0.01, 0.39",0,0,1,3,3,0,890
"0.01, 0.40",0,0,1,3,3,0,890
"0.02, 0.00",0,0,0,3,3,0,1130
"0.02, 0.01",0,0,0,3,3,0,1150
"0.02, 0.02",0,0,0,3,3,0,830
"0.02, 0.03",0,0,1,3,3,0,820
"0.02, 0.04",0,0,1,3,3,0,770
"0.02, 0.05",0,0,1,3,3,0,700
"0.02, 0.06",0,0,0,3,3,0,1000
"0.02, 0.07",0,0,1,3,3,0,1090
"0.02, 0.08",0,0,0,3,3,0,860
"0.02, 0.09",0,0,1,3,3,0,770
"0.02, 0.10",0,0,0,3,3,0,1040
"0.02, 0.11",0,0,0,3,3,0,920
"0.02, 0.12",0,0,0,3,3,0,1000
"0.02, 0.13",0,0,1,3,3,0,800
"0.02, 0.14",0,0,1,3,3,0,770
"0.02, 0.15",0,0,1,3,3,0,940
"0.02, 0.16",0,0,1,3,3,0,1090
"0.02, 0.17",0,0,1,3,3,0,940
"0.02, 0.18",1,1,1,3,3,8,1030
"0.02, 0.19",1,1,1,3,3,8,1030
"0.02, 0.20",0,0,1,3,3,0,1100
"0.02, 0.21",0,0,1,3,3,0,800
"0.02, 0.22",0,0,1,3,3,0,800
"0.02, 0.23",0,0,1,3,3,0,940
"0.02, 0.24",1,1,1,3,3,5,930
"0.02, 0.25",0,0,0,3,3,0,1000
"0.02, 0.26",0,0,0,3,3,0,1000
"0.02, 0.27",0,0,1,3,3,0,940
"0.02, 0.28",0,0,1,3,3,0,800
"0.02, 0.29",0,0,1,3,3,0,800
"0.02, 0.30",0,0,1,3,3,0,800
"0.02, 0.31",0,0,1,3,3,0,940
"0.02, 0.32",0,0,1,3,3,0,800
"0.02, 0.33",0,0,1,3,3,0,940
"0.02, 0.34",0,0,1,3,3,0,940
"0.02, 0.35",0,0,1,3,3,0,800
"0.02, 0.36",0,0,1,3,3,0,940
"0.02, 0.37",0,0,1,3,3,0,940
"0.02, 0.38",0,0,1,3,3,0,940
"0.02, 0.39",0,0,1,3,3,0,940
"0.02, 0.40",0,0,0,3,3,0,1000
"0.03, 0.00",0,0,0,3,3,0,1150
"0.03, 0.01",0,0,0,3,3,0,1100
"0.03, 0.02",0,0,0,3,3,0,820
"0.03, 0.03",0,0,0,3,3,0,870
"0.03, 0.04",0,0,0,3,3,0,650
"0.03, 0.05",0,0,0,3,3,0,1110
"0.03, 0.06",0,0,0,3,3,0,1350
"0.03, 0.07",0,0,0,3,3,0,1260
"0.03, 0.08",0,0,0,3,3,0,1330
"0.03, 0.09",0,0,0,3,3,0,1330
"0.03, 0.10",0,0,0,3,3,0,1330
"0.03, 0.11",0,0,0,3,3,0,1330
"0.03, 0.12",0,0,0,3,3,0,1330
"0.03, 0.13",0,0,0,3,3,0,1260
"0.03, 0.14",0,0,0,3,3,0,1260
"0.03, 0.15",0,0,0,3,3,0,1260
"0.03, 0.16",0,0,0,3,3,0,1330
"0.03, 0.17",0,0,0,3,3,0,1330
"0.03, 0.18",0,0,0,3,3,0,1330
"0.03, 0.19",0,0,0,3,3,0,1330
"0.03, 0.20",0,0,0,3,3,0,1260
"0.03, 0.21",0,0,0,3,3,0,1300
"0.03, 0.22",0,0,0,3,3,0,1330
"0.03, 0.23",0,0,0,3,3,0,1320
"0.03, 0.24",0,0,0,3,3,0,1330
"0.03, 0.25",0,0,0,3,3,0,1330
"0.03, 0.26",0,0,0,3,3,0,1330
"0.03, 0.27",0,0,0,3,3,0,1260
"0.03, 0.28",0,0,0,3,3,0,1330
"0.03, 0.29",0,0,0,3,3,0,1300
"0.03, 0.30",0,0,0,3,3,0,1260
"0.03, 0.31",0,0,0,3,3,0,1260
"0.03, 0.32",0,0,0,3,3,0,1260
"0.03, 0.33",0,0,0,3,3,0,1330
"0.03, 0.34",0,0,0,3,3,0,1300
"0.03, 0.35",0,0,0,3,3,0,1260
"0.03, 0.36",0,0,0,3,3,0,1330
"0.03, 0.37",0,0,0,3,3,0,1330
"0.03, 0.38",0,0,0,3,3,0,1300
"0.03, 0.39",0,0,0,3,3,0,1330
"0.03, 0.40",0,0,0,3,3,0,1330
"0.04, 0.00",0,0,0,3,3,0,1140
"0.04, 0.01",0,0,0,3,3,0,900
"0.04, 0.02",0,0,0,3,3,0,1110
"0.04, 0.03",0,0,0,3,3,0,830
"0.04, 0.04",0,0,0,3,3,0,1110
"0.04, 0.05",0,0,0,3,3,0,1200
"0.04, 0.06",0,0,1,3,3,0,690
"0.04, 0.07",0,0,0,3,3,0,1200
"0.04, 0.08",0,0,1,3,3,0,690
"0.04, 0.09",0,0,0,3,3,0,1200
"0.04, 0.10",0,0,0,3,3,0,1200
"0.04, 0.11",0,0,0,3,3,0,1200
"0.04, 0.12",0,0,1,3,3,0,690
"0.04, 0.13",0,0,0,3,3,0,1200
"0.04, 0.14",0,0,1,3,3,0,690
"0.04, 0.15",0,0,1,3,3,0,690
"0.04, 0.16",0,0,1,3,3,0,690
"0.04, 0.17",0,0,1,3,3,0,690
"0.04, 0.18",0,0,1,3,3,0,690
"0.04, 0.19",0,0,1,3,3,0,690
"0.04, 0.20",0,0,1,3,3,0,690
"0.04, 0.21",0,0,1,3,3,0,690
"0.04, 0.22",0,0,1,3,3,0,690
"0.04, 0.23",0,0,0,3,3,0,1200
"0.04, 0.24",0,0,0,3,3,0,1200
"0.04, 0.25",0,0,1,3,3,0,690
"0.04, 0.26",0,0,1,3,3,0,690
"0.04, 0.27",0,0,0,3,3,0,1200
"0.04, 0.28",0,0,0,3,3,0,1200
"0.04, 0.29",0,0,1,3,3,0,690
"0.04, 0.30",0,0,0,3,3,0,1200
"0.04, 0.31",0,0,1,3,3,0,690
"0.04, 0.32",0,0,0,3,3,0,1200
"0.04, 0.33",0,0,0,3,3,0,1200
"0.04, 0.34",0,0,0,3,3,0,1200
"0.04, 0.35",0,0,0,3,3,0,1200
"0.04, 0.36",0,0,0,3,3,0,1200
"0.04, 0.37",0,0,1,3,3,0,690
"0.04, 0.38",0,0,0,3,3,0,1200
"0.04, 0.39",0,0,0,3,3,0,1200
"0.04, 0.40",0,0,1,3,3,0,690
"0.05, 0.00",0,0,0,3,3,0,1250
"0.05, 0.01",0,0,0,3,3,0,840
"0.05, 0.02",0,0,0,3,3,0,1100
"0.05, 0.03",0,0,0,3,3,0,1390
"0.05, 0.04",0,0,1,3,3,0,770
"0.05, 0.05",0,0,1,3,3,0,760
"0.05, 0.06",0,0,1,3,3,0,680
"0.05, 0.07",0,0,1,3,3,0,760
"0.05, 0.08",0,0,1,3,3,0,680
"0.05, 0.09",0,0,1,3,3,0,760
"0.05, 0.10",0,0,1,3,3,0,680
"0.05, 0.11",0,0,1,3,3,0,680
"0.05, 0.12",0,0,1,3,3,0,680
"0.05, 0.13",0,0,1,3,3,0,760
"0.05, 0.14",0,0,1,3,3,0,760
"0.05, 0.15",0,0,1,3,3,0,760
"0.05, 0.16",0,0,1,3,3,0,680
"0.05, 0.17",0,0,1,3,3,0,680
"0.05, 0.18",0,0,1,3,3,0,680
"0.05, 0.19",0,0,1,3,3,0,720
"0.05, 0.20",0,0,1,3,3,0,760
"0.05, 0.21",0,0,1,3,3,0,760
"0.05, 0.22",0,0,1,3,3,0,680
"0.05, 0.23",0,0,1,3,3,0,680
"0.05, 0.24",0,0,1,3,3,0,760
"0.05, 0.25",0,0,1,3,3,0,680
"0.05, 0.26",0,0,1,3,3,0,680
"0.05, 0.27",0,0,1,3,3,0,720
"0.05, 0.28",0,0,1,3,3,0,720
"0.05, 0.29",0,0,1,3,3,0,720
"0.05, 0.30",0,0,1,3,3,0,680
"0.05, 0.31",0,0,1,3,3,0,720
"0.05, 0.32",0,0,1,3,3,0,720
"0.05, 0.33",0,0,1,3,3,0,680
"0.05, 0.34",0,0,1,3,3,0,760
"0.05, 0.35",0,0,1,3,3,0,720
"0.05, 0.36",0,0,1,3,3,0,680
"0.05, 0.37",0,0,1,3,3,0,720
"0.05, 0.38",0,0,1,3,3,0,760
"0.05, 0.39",0,0,1,3,3,0,680
"0.05, 0.40",0,0,1,3,3,0,760
"0.06, 0.00",0,0,0,3,3,0,1370
"0.06, 0.01",0,0,0,3,3,0,1190
"0.06, 0.02",0,0,0,3,3,0,760
"0.06, 0.03",0,0,0,3,3,0,860
"0.06, 0.04",0,0,0,3,3,0,1130
"0.06, 0.05",0,0,0,3,3,0,1010
"0.06, 0.06",0,0,1,3,3,0,790
"0.06, 0.07",0,0,1,3,3,0,750
"0.06, 0.08",0,0,1,3,3,0,750
"0.06, 0.09",0,0,1,3,3,0,750
"0.06, 0.10",0,0,1,3,3,0,750
"0.06, 0.11",0,0,1,3,3,0,690
